Time (s),Pack Voltage (V),Cell 1 Voltage (V),Cell 2 Voltage (V),Cell 3 Voltage (V),Cell 4 Voltage (V),Tap 1S Cumulative Voltage (V),Tap 2S Cumulative Voltage (V),Tap 3S Cumulative Voltage (V),Tap 4S Cumulative Voltage (V),Current (A),Temperature (°C)
78.54,12.4322,3.0959,3.1333,3.1597,3.0433,3.0959,6.2292,9.3889,12.4507,0.0373,20.18
79.04,12.4507,3.0860,3.1432,3.1321,3.0894,3.0860,6.2292,9.3613,12.4322,0.0373,18.70
79.53,12.4322,3.0909,3.1382,3.1321,3.0710,3.0909,6.2292,9.3613,12.4507,0.0373,18.70
80.06,12.4691,3.0959,3.1333,3.1321,3.1078,3.0959,6.2292,9.3613,12.4322,0.1119,19.20
80.54,12.4875,3.1254,3.1038,3.1321,3.1262,3.1254,6.2292,9.3613,12.4691,1.7525,18.70
81.04,12.4507,3.0909,3.1382,3.1321,3.0894,3.0909,6.2292,9.3613,12.4875,0.1119,18.70
81.54,12.4322,3.0663,3.1628,3.1459,3.0572,3.0663,6.2292,9.3751,12.4507,0.0373,19.20
82.04,12.4322,3.0909,3.1382,3.1321,3.0710,3.0909,6.2292,9.3613,12.4322,0.0373,18.70
82.54,12.4507,3.0860,3.1432,3.1183,3.1032,3.0860,6.2292,9.3475,12.4322,0.1119,18.70
83.04,12.4507,3.0762,3.1530,3.1459,3.0756,3.0762,6.2292,9.3751,12.4507,0.0373,18.70
83.53,12.4322,3.0959,3.1333,3.1321,3.0710,3.0959,6.2292,9.3613,12.4507,0.0373,18.70
84.03,12.4507,3.0909,3.1382,3.1459,3.0756,3.0909,6.2292,9.3751,12.4322,0.2610,18.70
84.53,12.4507,3.1008,3.1367,3.1238,3.0894,3.1008,6.2375,9.3613,12.4507,0.0373,18.70
85.06,12.4322,3.0762,3.1280,3.1571,3.0710,3.0762,6.2042,9.3613,12.4507,0.0373,18.21
85.54,12.4507,3.1303,3.0989,3.1321,3.0894,3.1303,6.2292,9.3613,12.4322,0.0373,18.21
86.04,12.4322,3.0909,3.1382,3.1321,3.0710,3.0909,6.2292,9.3613,12.4507,0.0373,18.21
86.55,12.4507,3.0909,3.1382,3.1321,3.0894,3.0909,6.2292,9.3613,12.4322,0.0373,18.21
87.06,12.4507,3.0959,3.1333,3.1321,3.0894,3.0959,6.2292,9.3613,12.4507,0.1119,18.70
87.56,12.4322,3.0860,3.1432,3.1459,3.0572,3.0860,6.2292,9.3751,12.4507,0.1119,18.21
88.04,12.4138,3.0909,3.1299,3.1266,3.0664,3.0909,6.2208,9.3475,12.4322,0.0373,18.21
88.54,12.4507,3.1106,3.1102,3.1404,3.0894,3.1106,6.2208,9.3613,12.4138,0.1119,18.21
89.04,12.4507,3.0860,3.1432,3.1321,3.0894,3.0860,6.2292,9.3613,12.4507,0.0373,18.21
89.54,12.4507,3.1205,3.1170,3.1100,3.1032,3.1205,6.2375,9.3475,12.4507,0.0373,18.21
90.04,12.4322,3.1155,3.1136,3.1321,3.0710,3.1155,6.2292,9.3613,12.4507,0.0373,18.70
90.54,12.4322,3.0860,3.1432,3.1183,3.0848,3.0860,6.2292,9.3475,12.4322,0.0373,19.20
91.04,12.4322,3.0762,3.1447,3.1404,3.0710,3.0762,6.2208,9.3613,12.4322,0.1119,17.72
91.53,12.4507,3.0909,3.1382,3.1321,3.0894,3.0909,6.2292,9.3613,12.4322,0.0373,17.72
92.06,12.4507,3.0614,3.1594,3.1404,3.0894,3.0614,6.2208,9.3613,12.4507,0.0373,19.20
92.54,12.4507,3.0959,3.1333,3.1183,3.1032,3.0959,6.2292,9.3475,12.4507,0.0373,19.69
93.05,12.4507,3.0959,3.1333,3.1183,3.1032,3.0959,6.2292,9.3475,12.4507,0.0373,19.20
93.55,12.4507,3.0811,3.1398,3.1404,3.0894,3.0811,6.2208,9.3613,12.4507,0.0373,17.72
94.04,12.4507,3.1057,3.1235,3.1321,3.0894,3.1057,6.2292,9.3613,12.4507,0.0373,18.70
94.54,12.4322,3.0860,3.1515,3.1100,3.0848,3.0860,6.2375,9.3475,12.4507,0.0373,18.21
95.04,12.4322,3.0909,3.1466,3.1238,3.0710,3.0909,6.2375,9.3613,12.4322,0.1119,18.70
95.54,12.4322,3.0909,3.1382,3.1459,3.0572,3.0909,6.2292,9.3751,12.4322,0.8576,18.70
96.04,12.4507,3.0909,3.1299,3.1266,3.1032,3.0909,6.2208,9.3475,12.4322,0.1119,19.69
96.55,12.4507,3.0614,3.1428,3.1571,3.0894,3.0614,6.2042,9.3613,12.4507,0.0373,17.72
97.05,12.4507,3.0811,3.1647,3.1293,3.0756,3.0811,6.2458,9.3751,12.4507,0.0373,19.20
97.55,12.4322,3.0860,3.1432,3.1459,3.0572,3.0860,6.2292,9.3751,12.4507,0.0373,18.70
98.06,12.4507,3.1155,3.1220,3.1238,3.0894,3.1155,6.2375,9.3613,12.4322,0.0373,18.70
98.55,12.4322,3.1205,3.1004,3.1404,3.0710,3.1205,6.2208,9.3613,12.4507,0.1119,18.21
99.05,12.4507,3.1106,3.1185,3.1321,3.0894,3.1106,6.2292,9.3613,12.4322,0.0373,24.61
99.55,12.4322,3.0909,3.1382,3.1183,3.0848,3.0909,6.2292,9.3475,12.4507,0.0373,18.70
100.05,12.4322,3.0663,3.1628,3.1321,3.0710,3.0663,6.2292,9.3613,12.4322,0.1119,17.72
100.53,12.3586,3.0466,3.1326,3.1130,3.0663,3.0466,6.1792,9.2923,12.4322,0.0373,18.70
101.03,12.3770,3.0811,3.1231,3.1295,3.0433,3.0811,6.2042,9.3337,12.3586,0.9322,19.20
101.56,12.3954,3.0811,3.1231,3.1157,3.0755,3.0811,6.2042,9.3199,12.3770,0.7830,17.72
102.06,12.3770,3.0811,3.1148,3.1240,3.0571,3.0811,6.1959,9.3199,12.3954,0.7830,19.69
102.55,12.3954,3.0713,3.1413,3.1073,3.0755,3.0713,6.2125,9.3199,12.3770,0.7830,18.21
103.05,12.3586,3.0860,3.1098,3.0964,3.0663,3.0860,6.1959,9.2923,12.3954,0.6339,19.20
103.55,12.3770,3.0762,3.1280,3.1019,3.0709,3.0762,6.2042,9.3061,12.3586,1.0067,19.20
104.05,12.4322,3.0860,3.1348,3.1404,3.0710,3.0860,6.2208,9.3613,12.3770,0.7830,14.27
104.53,12.4507,3.0959,3.1416,3.1100,3.1032,3.0959,6.2375,9.3475,12.4322,0.0373,19.20
105.05,12.4322,3.1106,3.1185,3.1321,3.0710,3.1106,6.2292,9.3613,12.4507,0.1119,17.23
105.55,12.4322,3.0959,3.1250,3.1404,3.0710,3.0959,6.2208,9.3613,12.4322,0.1119,19.69
106.03,12.4507,3.0959,3.1333,3.1321,3.0894,3.0959,6.2292,9.3613,12.4322,0.0373,13.78
106.56,12.4507,3.1057,3.1235,3.1321,3.0894,3.1057,6.2292,9.3613,12.4507,0.1119,13.78
107.06,12.4507,3.0909,3.1382,3.1321,3.0894,3.0909,6.2292,9.3613,12.4507,0.1119,18.70
107.56,12.4322,3.0959,3.1250,3.1404,3.0710,3.0959,6.2208,9.3613,12.4507,0.0373,23.13
108.06,12.4322,3.1057,3.1151,3.1404,3.0710,3.1057,6.2208,9.3613,12.4322,0.0373,20.18
108.56,12.4322,3.0959,3.1250,3.1266,3.0848,3.0959,6.2208,9.3475,12.4322,0.1119,20.67
109.05,12.4507,3.0909,3.1549,3.1155,3.0894,3.0909,6.2458,9.3613,12.4322,0.1119,16.24
109.56,12.4322,3.0909,3.1466,3.1238,3.0710,3.0909,6.2375,9.3613,12.4507,0.0373,16.24
110.05,12.4322,3.1106,3.1102,3.1404,3.0710,3.1106,6.2208,9.3613,12.4322,0.0373,21.16
110.55,12.4507,3.0909,3.1299,3.1404,3.0894,3.0909,6.2208,9.3613,12.4322,0.0373,19.20
111.05,12.4507,3.0959,3.1333,3.1321,3.0894,3.0959,6.2292,9.3613,12.4507,0.1119,18.70
111.55,12.4322,3.0959,3.1416,3.1238,3.0710,3.0959,6.2375,9.3613,12.4507,0.1119,17.72
112.05,12.4507,3.0663,3.1628,3.1321,3.0894,3.0663,6.2292,9.3613,12.4322,0.0373,23.62
112.54,12.4507,3.1254,3.0955,3.1404,3.0894,3.1254,6.2208,9.3613,12.4507,0.0373,17.23
113.04,12.4507,3.0959,3.1333,3.1321,3.0894,3.0959,6.2292,9.3613,12.4507,0.0373,18.70
113.54,12.4322,3.1254,3.1038,3.1321,3.0710,3.1254,6.2292,9.3613,12.4507,0.1119,17.23
114.04,12.4507,3.0959,3.1333,3.1321,3.0894,3.0959,6.2292,9.3613,12.4322,0.0373,17.23
